path,classification,label
0_0_Tiger (10).JPG,1,Tiger
0_0_Tiger (100).JPG,1,Tiger
0_1_Tiger (100).JPG,1,Tiger
0_2_Tiger (100).JPG,1,Tiger
0_3_Tiger (100).JPG,1,Tiger
0_0_Tiger (1000).JPG,1,Tiger
0_0_Tiger (1005).JPG,1,Tiger
1_1_Tiger (1005).JPG,1,Tiger
0_0_Tiger (1009).JPG,1,Tiger
0_1_Tiger (1009).JPG,1,Tiger
0_0_Tiger (1011).JPG,1,Tiger
0_1_Tiger (1011).JPG,1,Tiger
0_0_Tiger (1012).JPG,1,Tiger
0_1_Tiger (1012).JPG,1,Tiger
0_0_Tiger (1013).JPG,0,Not Tiger
0_0_Tiger (1016).JPG,1,Tiger
0_1_Tiger (1016).JPG,1,Tiger
0_2_Tiger (1016).JPG,1,Tiger
0_3_Tiger (1016).JPG,1,Tiger
0_0_Tiger (1017).JPG,1,Tiger
0_1_Tiger (1017).JPG,1,Tiger
0_2_Tiger (1017).JPG,1,Tiger
0_0_Tiger (1019).JPG,1,Tiger
0_1_Tiger (1019).JPG,1,Tiger
0_2_Tiger (1019).JPG,1,Tiger
0_3_Tiger (1019).JPG,1,Tiger
0_0_Tiger (1021).JPG,0,Not Tiger
0_0_Tiger (1022).JPG,0,Not Tiger
0_1_Tiger (1022).JPG,0,Not Tiger
0_2_Tiger (1022).JPG,0,Not Tiger
0_3_Tiger (1022).JPG,0,Not Tiger
0_0_Tiger (1023).JPG,1,Tiger
0_0_Tiger (1024).JPG,1,Tiger
0_1_Tiger (1024).JPG,1,Tiger
0_0_Tiger (1025).JPG,1,Tiger
0_1_Tiger (1025).JPG,1,Tiger
0_2_Tiger (1025).JPG,1,Tiger
0_0_Tiger (1026).JPG,0,Not Tiger
0_0_Tiger (1029).JPG,1,Tiger
0_1_Tiger (1029).JPG,1,Tiger
0_2_Tiger (1029).JPG,1,Tiger
0_0_Tiger (1030).JPG,1,Tiger
0_0_Tiger (1031).JPG,1,Tiger
0_0_Tiger (1032).JPG,1,Tiger
0_1_Tiger (1032).JPG,1,Tiger
0_2_Tiger (1032).JPG,1,Tiger
0_0_Tiger (1034).JPG,1,Tiger
0_0_Tiger (1035).JPG,0,Not Tiger
0_0_Tiger (1036).JPG,1,Tiger
0_0_Tiger (1037).JPG,0,Not Tiger
0_1_Tiger (1037).JPG,0,Not Tiger
0_0_Tiger (1038).JPG,1,Tiger
0_1_Tiger (1038).JPG,1,Tiger
1_2_Tiger (1038).JPG,1,Tiger
0_0_Tiger (1039).JPG,1,Tiger
0_0_Tiger (1040).JPG,1,Tiger
0_0_Tiger (1042).JPG,1,Tiger
0_0_Tiger (1043).JPG,1,Tiger
0_0_Tiger (1044).JPG,1,Tiger
0_0_Tiger (1046).JPG,1,Tiger
2_1_Tiger (1046).JPG,1,Tiger
0_0_Tiger (1048).JPG,1,Tiger
0_0_Tiger (105).JPG,0,Not Tiger
0_0_Tiger (1050).JPG,1,Tiger
0_0_Tiger (1051).JPG,1,Tiger
0_1_Tiger (1051).JPG,1,Tiger
0_0_Tiger (1053).JPG,0,Not Tiger
2_1_Tiger (1053).JPG,0,Not Tiger
0_2_Tiger (1053).JPG,0,Not Tiger
0_3_Tiger (1053).JPG,0,Not Tiger
0_0_Tiger (1055).JPG,1,Tiger
0_0_Tiger (1058).JPG,1,Tiger
0_0_Tiger (1059).JPG,1,Tiger
0_0_Tiger (106).JPG,1,Tiger
0_1_Tiger (106).JPG,1,Tiger
0_0_Tiger (1061).JPG,0,Not Tiger
0_0_Tiger (1065).JPG,1,Tiger
0_1_Tiger (1065).JPG,1,Tiger
0_0_Tiger (1066).JPG,1,Tiger
0_1_Tiger (1066).JPG,1,Tiger
0_0_Tiger (1067).JPG,1,Tiger
0_0_Tiger (1068).JPG,0,Not Tiger
0_1_Tiger (1068).JPG,0,Not Tiger
0_2_Tiger (1068).JPG,0,Not Tiger
0_0_Tiger (1069).JPG,0,Not Tiger
0_1_Tiger (1069).JPG,0,Not Tiger
0_2_Tiger (1069).JPG,0,Not Tiger
0_3_Tiger (1069).JPG,0,Not Tiger
