path,label,classification
Tiger (3649).JPG,Tiger,1
nTiger (2802).JPG,Not Tiger,0
nTiger (2561).JPG,Not Tiger,0
Tiger (3467).JPG,Tiger,1
Tiger (492).JPG,Tiger,1
nTiger (2550).JPG,Not Tiger,0
nTiger (2732).JPG,Not Tiger,0
nTiger (550).JPG,Not Tiger,0
nTiger (2216).JPG,Not Tiger,0
nTiger (697).JPG,Not Tiger,0
nTiger (3087).JPG,Not Tiger,0
nTiger (2046).JPG,Not Tiger,0
Tiger (1487).JPG,Tiger,1
Tiger (207).JPG,Tiger,1
nTiger (2768).JPG,Not Tiger,0
Tiger (630).JPG,Tiger,1
Tiger (936).JPG,Tiger,1
nTiger (2536).JPG,Not Tiger,0
Tiger (2327).JPG,Tiger,1
Tiger (725).JPG,Tiger,1
nTiger (2410).JPG,Not Tiger,0
nTiger (1656).JPG,Not Tiger,0
nTiger (61).JPG,Not Tiger,0
Tiger (142).JPG,Tiger,1
Tiger (3232).JPG,Tiger,1
Tiger (935).JPG,Tiger,1
nTiger (2207).JPG,Not Tiger,0
Tiger (3328).JPG,Tiger,1
Tiger (2311).JPG,Tiger,1
nTiger (1269).JPG,Not Tiger,0
nTiger (1267).JPG,Not Tiger,0
nTiger (1394).JPG,Not Tiger,0
Tiger (663).JPG,Tiger,1
Tiger (253).JPG,Tiger,1
nTiger (3077).JPG,Not Tiger,0
Tiger (2819).JPG,Tiger,1
nTiger (72).JPG,Not Tiger,0
nTiger (1754).JPG,Not Tiger,0
Tiger (1644).JPG,Tiger,1
nTiger (1466).JPG,Not Tiger,0
Tiger (4010).JPG,Tiger,1
nTiger (3003).JPG,Not Tiger,0
nTiger (2222).JPG,Not Tiger,0
Tiger (2444).JPG,Tiger,1
nTiger (2071).JPG,Not Tiger,0
Tiger (2715).JPG,Tiger,1
Tiger (4034).JPG,Tiger,1
nTiger (1855).JPG,Not Tiger,0
nTiger (243).JPG,Not Tiger,0
Tiger (3341).JPG,Tiger,1
Tiger (2253).JPG,Tiger,1
nTiger (639).JPG,Not Tiger,0
nTiger (2718).JPG,Not Tiger,0
nTiger (545).JPG,Not Tiger,0
Tiger (230).JPG,Tiger,1
Tiger (426).JPG,Tiger,1
nTiger (1256).JPG,Not Tiger,0
Tiger (1704).JPG,Tiger,1
Tiger (651).JPG,Tiger,1
Tiger (1038).JPG,Tiger,1
Tiger (3364).JPG,Tiger,1
Tiger (738).JPG,Tiger,1
Tiger (334).JPG,Tiger,1
Tiger (1471).JPG,Tiger,1
Tiger (611).JPG,Tiger,1
nTiger (2200).JPG,Not Tiger,0
Tiger (1815).JPG,Tiger,1
Tiger (4108).JPG,Tiger,1
nTiger (633).JPG,Not Tiger,0
Tiger (2950).JPG,Tiger,1
nTiger (1463).JPG,Not Tiger,0
nTiger (2933).JPG,Not Tiger,0
Tiger (403).JPG,Tiger,1
Tiger (621).JPG,Tiger,1
Tiger (1206).JPG,Tiger,1
Tiger (2532).JPG,Tiger,1
Tiger (4327).JPG,Tiger,1
Tiger (4043).JPG,Tiger,1
nTiger (1197).JPG,Not Tiger,0
Tiger (3490).JPG,Tiger,1
nTiger (1872).JPG,Not Tiger,0
nTiger (884).JPG,Not Tiger,0
Tiger (3056).JPG,Tiger,1
Tiger (1265).JPG,Tiger,1
Tiger (3449).JPG,Tiger,1
