Custom-classification-lr-SGD/pg1,Custom-classification-lr-SGD/pg2,step,Custom-classification-train_loss,Custom-classification-epoch,Custom-classification-valid_mac_acc,Custom-classification-valid_mic_acc
0.01,0.01,9,,,,
,,9,0.2000085860490799,0,,
0.01,0.01,19,,,,
,,19,0.6835593581199646,0,,
0.01,0.01,29,,,,
,,29,0.47069090604782104,0,,
0.01,0.01,39,,,,
,,39,0.6811412572860718,0,,
0.01,0.01,49,,,,
,,49,0.5265941023826599,0,,
0.01,0.01,59,,,,
,,59,0.6158454418182373,0,,
0.01,0.01,69,,,,
,,69,0.4000086188316345,0,,
0.01,0.01,79,,,,
,,79,0.6121135950088501,0,,
0.01,0.01,89,,,,
,,89,0.6702245473861694,0,,
0.01,0.01,99,,,,
,,99,0.4518052041530609,0,,
0.01,0.01,109,,,,
,,109,0.31810832023620605,0,,
0.01,0.01,119,,,,
,,119,0.4703139066696167,0,,
0.01,0.01,129,,,,
,,129,0.4374150335788727,0,,
0.01,0.01,139,,,,
,,139,0.8073141574859619,0,,
0.01,0.01,149,,,,
,,149,0.7945484519004822,0,,
0.01,0.01,159,,,,
,,159,0.6303122043609619,0,,
0.01,0.01,169,,,,
,,169,0.5552520751953125,0,,
0.01,0.01,179,,,,
,,179,0.6522360444068909,0,,
0.01,0.01,189,,,,
,,189,0.6618435382843018,0,,
0.01,0.01,199,,,,
,,199,0.7827516794204712,0,,
0.01,0.01,209,,,,
,,209,0.6133205890655518,0,,
0.01,0.01,219,,,,
,,219,0.4326687753200531,0,,
0.01,0.01,229,,,,
,,229,0.4271607995033264,0,,
0.01,0.01,239,,,,
,,239,0.5832446813583374,0,,
,,246,,0,52.511407278631296,50.126399422174075
0.01,0.01,249,,,,
,,249,0.5998493432998657,1,,
0.01,0.01,259,,,,
,,259,0.5266238451004028,1,,
0.01,0.01,269,,,,
,,269,1.130789875984192,1,,
0.01,0.01,279,,,,
,,279,0.6393416523933411,1,,
0.01,0.01,289,,,,
,,289,1.2701705694198608,1,,
0.01,0.01,299,,,,
,,299,0.7882131338119507,1,,
0.01,0.01,309,,,,
,,309,0.6953211426734924,1,,
0.01,0.01,319,,,,
,,319,0.579268753528595,1,,
0.01,0.01,329,,,,
,,329,0.737278163433075,1,,
0.01,0.01,339,,,,
,,339,0.7063369750976562,1,,
0.01,0.01,349,,,,
,,349,0.540375292301178,1,,
0.01,0.01,359,,,,
,,359,0.5765313506126404,1,,
0.01,0.01,369,,,,
,,369,0.5169758200645447,1,,
0.01,0.01,379,,,,
,,379,0.5952250957489014,1,,
0.01,0.01,389,,,,
,,389,0.6104434728622437,1,,
0.01,0.01,399,,,,
,,399,0.5950490236282349,1,,
0.01,0.01,409,,,,
,,409,0.5354111194610596,1,,
0.01,0.01,419,,,,
,,419,0.38953447341918945,1,,
0.01,0.01,429,,,,
,,429,0.3256993293762207,1,,
0.01,0.01,439,,,,
,,439,0.4931766986846924,1,,
0.01,0.01,449,,,,
,,449,0.4127079248428345,1,,
0.01,0.01,459,,,,
,,459,0.47745445370674133,1,,
0.01,0.01,469,,,,
,,469,0.4106760323047638,1,,
0.01,0.01,479,,,,
,,479,0.4853835999965668,1,,
0.01,0.01,489,,,,
,,489,0.41749313473701477,1,,
,,493,,1,85.66747827199121,88.44348140122787
0.01,0.01,499,,,,
,,499,0.2548670768737793,2,,
0.01,0.01,509,,,,
,,509,0.45181530714035034,2,,
0.01,0.01,519,,,,
,,519,0.4324120283126831,2,,
0.01,0.01,529,,,,
,,529,0.5371368527412415,2,,
0.01,0.01,539,,,,
,,539,0.4790325164794922,2,,
0.01,0.01,549,,,,
,,549,0.5744765996932983,2,,
0.01,0.01,559,,,,
,,559,0.25411906838417053,2,,
